ModelName;EpochBest;EpochsTotal;Sparse;Score
cifar10_:nodes_topk_0.0-0.3:;13;20;nodes_topk_0.0-0.3;0.640925
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.525741
cifar10_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.350861
cifar10_:edges_random_0.0-0.6:_no;19;20;edges_random_0.0-0.6;0.674179
cifar10_:edges_random_0.0-0.6:;19;20;edges_random_0.0-0.6;0.639423
cifar10_:edges_random_0.0-0.3:_no;11;20;edges_random_0.0-0.3;0.658554
cifar10_:edges_random_0.0-0.3:;11;20;edges_random_0.0-0.3;0.638722
cifar10_:edges_random_0.0-0.3:_no;12;20;edges_random_0.0-0.3;0.656851
cifar10_:edges_random_0.0-0.3:;12;20;edges_random_0.0-0.3;0.64393
cifar10_:nodes_topk_0.0-0.6:_no;18;20;nodes_topk_0.0-0.6;0.670773
cifar10_:nodes_topk_0.0-0.6:;18;20;nodes_topk_0.0-0.6;0.652143
cifar10_:nodes_topk_0.0-0.3:_no;9;20;nodes_topk_0.0-0.3;0.660357
cifar10_:nodes_topk_0.0-0.3:;9;20;nodes_topk_0.0-0.3;0.654046
cifar10_:nodes_topk_0.0-0.3:_no;11;20;nodes_topk_0.0-0.3;0.64984
cifar10_:nodes_topk_0.0-0.3:;11;20;nodes_topk_0.0-0.3;0.642328
cifar10_loss_01_no;18;20;nodes_topk_0.0-0.6;0.651242
cifar10_loss_01;12;20;nodes_topk_0.0-0.6;0.637921
cifar10_:edges_random_0.0-0.6:_no;17;20;edges_random_0.0-0.6;0.677784
cifar10_:edges_random_0.0-0.6:;20;20;edges_random_0.0-0.6;0.644631
cifar10_:edges_random_0.0-0.6:_no;14;20;edges_random_0.0-0.6;0.668369
cifar10_:edges_random_0.0-0.6:;14;20;edges_random_0.0-0.6;0.632812
cifar10_loss_001_no;18;20;nodes_topk_0.0-0.6;0.667869
cifar10_loss_001;18;20;nodes_topk_0.0-0.6;0.659555
cifar10_:nodes_topk_0.0-0.6:_no;16;20;nodes_topk_0.0-0.6;0.670272
cifar10_:nodes_topk_0.0-0.6:;16;20;nodes_topk_0.0-0.6;0.651442
fashionmnist_:none:;13;20;none;0.899339
cifar10_:nodes_topk_0.0-0.6:_no;14;20;nodes_topk_0.0-0.6;0.669972
cifar10_:nodes_topk_0.0-0.6:;14;20;nodes_topk_0.0-0.6;0.653646
fashionmnist_:nodes_topk_0.3-0.3:_no;13;20;nodes_topk_0.3-0.3;0.900641
fashionmnist_:nodes_topk_0.3-0.3:;16;20;nodes_topk_0.3-0.3;0.900341
