ModelName;EpochBest;EpochsTotal;Score
fashion_edges_topk;8;10;0.90574
fashion_nodes_topk;8;10;0.904212
fashion_None;10;10;0.908118
test;3;3;0.613882
test_no;3;3;0.615184
test;3;3;0.61278
test_no;3;3;0.594952
test;3;3;0.646534
test_no;3;3;0.651042
