ModelName;EpochBest;EpochsTotal;Sparse;Score
fashionmnist_:nodes_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3;0.758714
fashionmnist_:none:;18;20;none;0.901242
fashionmnist_:nodes_random_0.3-0.3:_no;12;20;nodes_random_0.3-0.3;0.901943
fashionmnist_:nodes_random_0.3-0.3:;15;20;nodes_random_0.3-0.3;0.472957
fashionmnist_:nodes_topk_0.3-0.3:_no;16;20;nodes_topk_0.3-0.3;0.902344
fashionmnist_:nodes_topk_0.3-0.3:;9;20;nodes_topk_0.3-0.3;0.895733
fashionmnist_:edges_topk_0.3-0.3:_no;18;20;edges_topk_0.3-0.3;0.89974
fashionmnist_:edges_topk_0.3-0.3:;15;20;edges_topk_0.3-0.3;0.90004
fashionmnist_:nodes_sample_0.3-0.3:_no;14;20;nodes_sample_0.3-0.3;0.902845
fashionmnist_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.761819
fashionmnist_:edges_sample_0.3-0.3:_no;20;20;edges_sample_0.3-0.3;0.901442
fashionmnist_:edges_sample_0.3-0.3:;14;20;edges_sample_0.3-0.3;0.900441
fashionmnist_:nodes_random_0.3-0.3:_no;14;20;nodes_random_0.3-0.3;0.898738
fashionmnist_:nodes_random_0.3-0.3:;15;20;nodes_random_0.3-0.3;0.465946
fashionmnist_:edges_random_0.3-0.3:_no;20;20;edges_random_0.3-0.3;0.89994
fashionmnist_:edges_random_0.3-0.3:;14;20;edges_random_0.3-0.3;0.898337
fashionmnist_:edges_topk_0.3-0.3:_no;17;20;edges_topk_0.3-0.3;0.899439
fashionmnist_:edges_topk_0.3-0.3:;20;20;edges_topk_0.3-0.3;0.897636
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.901442
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;17;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.893129
fashionmnist_:edges_sample_0.3-0.3:_no;10;20;edges_sample_0.3-0.3;0.902043
fashionmnist_:edges_sample_0.3-0.3:;18;20;edges_sample_0.3-0.3;0.903245
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;20;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.897937
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;10;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.546775
fashionmnist_:edges_random_0.3-0.3:_no;16;20;edges_random_0.3-0.3;0.901943
fashionmnist_:edges_random_0.3-0.3:;16;20;edges_random_0.3-0.3;0.896835
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:_no;18;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.901442
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:;16;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.79387
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;10;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.901042
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;19;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.895032
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;18;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.896234
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;8;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.642628
fashionmnist_:edges_random_0.0-0.3:_no;17;20;edges_random_0.0-0.3;0.899639
fashionmnist_:edges_random_0.0-0.3:;17;20;edges_random_0.0-0.3;0.896635
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;16;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.900942
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;14;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.564303
fashionmnist_:nodes_topk_0.0-0.3:_no;14;20;nodes_topk_0.0-0.3;0.904748
fashionmnist_:nodes_topk_0.0-0.3:;20;20;nodes_topk_0.0-0.3;0.901542
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:_no;16;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.901542
fashionmnist_:nodes_topk_0.3-0.3+edges_random_0.3-0.3:;16;20;nodes_topk_0.3-0.3+edges_random_0.3-0.3;0.785657
fashionmnist_:edges_random_0.0-0.6:_no;14;20;edges_random_0.0-0.6;0.907151
fashionmnist_:edges_random_0.0-0.6:;17;20;edges_random_0.0-0.6;0.894331
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;18;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.896234
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;19;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.642027
fashionmnist_:nodes_topk_0.0-0.6:_no;14;20;nodes_topk_0.0-0.6;0.902544
fashionmnist_:nodes_topk_0.0-0.6:;14;20;nodes_topk_0.0-0.6;0.902244
fashionmnist_loss_01_no;20;20;nodes_topk_0.0-0.6;0.895633
fashionmnist_loss_01;20;20;nodes_topk_0.0-0.6;0.890325
fashionmnist_:edges_random_0.0-0.3:_no;9;20;edges_random_0.0-0.3;0.897837
fashionmnist_:edges_random_0.0-0.3:;12;20;edges_random_0.0-0.3;0.898237
fashionmnist_loss_001_no;14;20;nodes_topk_0.0-0.6;0.904647
fashionmnist_loss_001;12;20;nodes_topk_0.0-0.6;0.89994
fashionmnist_:nodes_topk_0.0-0.3:_no;20;20;nodes_topk_0.0-0.3;0.898538
fashionmnist_:nodes_topk_0.0-0.3:;19;20;nodes_topk_0.0-0.3;0.89994
mnist_:none:;14;20;none;0.991386
fashionmnist_:edges_random_0.0-0.6:_no;10;20;edges_random_0.0-0.6;0.902143
fashionmnist_:edges_random_0.0-0.6:;13;20;edges_random_0.0-0.6;0.894131
mnist_:nodes_topk_0.3-0.3:_no;19;20;nodes_topk_0.3-0.3;0.992087
mnist_:nodes_topk_0.3-0.3:;17;20;nodes_topk_0.3-0.3;0.991286
fashionmnist_:nodes_topk_0.0-0.6:_no;9;20;nodes_topk_0.0-0.6;0.899639
fashionmnist_:nodes_topk_0.0-0.6:;10;20;nodes_topk_0.0-0.6;0.896234
mnist_:nodes_sample_0.3-0.3:_no;15;20;nodes_sample_0.3-0.3;0.992388
mnist_:nodes_sample_0.3-0.3:;15;20;nodes_sample_0.3-0.3;0.836038
fashionmnist_loss_01_no;16;20;nodes_topk_0.0-0.6;0.892127
fashionmnist_loss_01;18;20;nodes_topk_0.0-0.6;0.893429
mnist_:nodes_random_0.3-0.3:_no;14;20;nodes_random_0.3-0.3;0.992388
mnist_:nodes_random_0.3-0.3:;15;20;nodes_random_0.3-0.3;0.490785
fashionmnist_loss_001_no;9;20;nodes_topk_0.0-0.6;0.898538
fashionmnist_loss_001;9;20;nodes_topk_0.0-0.6;0.894832
mnist_:edges_topk_0.3-0.3:_no;15;20;edges_topk_0.3-0.3;0.991887
mnist_:edges_topk_0.3-0.3:;15;20;edges_topk_0.3-0.3;0.991987
mnist_:none:;8;20;none;0.991186
mnist_:edges_sample_0.3-0.3:_no;19;20;edges_sample_0.3-0.3;0.991887
mnist_:edges_sample_0.3-0.3:;19;20;edges_sample_0.3-0.3;0.991386
mnist_:nodes_topk_0.3-0.3:_no;10;20;nodes_topk_0.3-0.3;0.992889
mnist_:nodes_topk_0.3-0.3:;10;20;nodes_topk_0.3-0.3;0.991787
mnist_:edges_random_0.3-0.3:_no;17;20;edges_random_0.3-0.3;0.992989
mnist_:edges_random_0.3-0.3:;14;20;edges_random_0.3-0.3;0.989383
mnist_:nodes_sample_0.3-0.3:_no;17;20;nodes_sample_0.3-0.3;0.992087
mnist_:nodes_sample_0.3-0.3:;17;20;nodes_sample_0.3-0.3;0.83724
mnist_:nodes_random_0.3-0.3:_no;17;20;nodes_random_0.3-0.3;0.991987
mnist_:nodes_random_0.3-0.3:;12;20;nodes_random_0.3-0.3;0.491587
mnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;20;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.992288
mnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;11;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.988081
mnist_:edges_topk_0.3-0.3:_no;14;20;edges_topk_0.3-0.3;0.99349
mnist_:edges_topk_0.3-0.3:;14;20;edges_topk_0.3-0.3;0.99359
mnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;18;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.992889
